Policy1,Policy2,No_Kids,Age_kids,Age,Maratial_status,Gender,Income,Education,Smoking.and.alcohol,Weight,Height,Term,sumAssured
1,3,0,0,8,0,1,0,0,0,62,154,25,570548
1,3,0,0,9,0,1,0,0,0,110,177,30,1565599
1,3,0,0,12,0,0,0,0,0,84,184,21,2021970
1,3,0,0,7,0,0,0,0,1,90,170,30,2191619
1,3,0,0,9,0,1,0,0,1,78,165,18,1722669
1,3,0,0,9,0,1,0,0,1,64,156,29,1154034
1,3,0,0,12,0,1,0,0,0,107,176,24,1172226
1,3,0,0,7,0,0,0,0,0,91,166,26,1902447
1,3,0,0,6,0,0,0,0,0,105,160,28,687705
1,3,0,0,8,0,1,0,0,1,72,189,26,1545035
1,3,0,0,11,0,1,0,0,0,78,166,29,1340821
1,3,0,0,8,0,0,0,0,1,66,153,21,2038286
1,3,0,0,9,0,0,0,0,0,92,172,25,1363587
1,3,0,0,5,0,0,0,0,1,73,160,23,2379962
1,3,0,0,7,0,0,0,0,1,72,189,30,358051
1,3,0,0,8,0,1,0,0,1,60,174,31,509034
1,3,0,0,5,0,1,0,0,1,101,157,24,1309705
1,3,0,0,6,0,1,0,0,1,92,162,20,1143169
1,3,0,0,6,0,0,0,0,1,101,151,20,795344
1,3,0,0,12,0,0,0,0,0,95,159,18,1275493
1,3,0,0,9,0,0,0,0,0,82,160,28,1054879
1,3,0,0,12,0,0,0,0,0,52,170,22,752298
1,3,0,0,9,0,1,0,0,0,100,189,29,1571815
1,3,0,0,10,0,1,0,0,1,51,189,28,1338677
1,3,0,0,8,0,0,0,0,0,75,182,34,743023
1,3,0,0,5,0,0,0,0,1,82,164,25,2490239
1,3,0,0,9,0,1,0,0,1,108,163,32,432765
1,3,0,0,6,0,0,0,0,0,54,154,30,2318624
1,3,0,0,5,0,0,0,0,0,51,165,33,1398389
1,3,0,0,10,0,0,0,0,1,66,154,30,1939490
1,3,0,0,5,0,0,0,0,1,83,186,15,2069772
1,3,0,0,12,0,0,0,0,0,71,160,31,2198006
1,3,0,0,10,0,0,0,0,0,91,171,15,2323494
1,3,0,0,9,0,1,0,0,1,104,170,30,1165766
1,3,0,0,6,0,1,0,0,0,63,173,20,2125611
1,3,0,0,12,0,0,0,0,0,53,183,23,1415300
1,3,0,0,5,0,1,0,0,1,48,168,34,2053174
1,3,0,0,5,0,0,0,0,0,60,161,34,1450651
1,3,0,0,8,0,1,0,0,0,94,180,22,618388
1,3,0,0,6,0,0,0,0,1,86,185,34,2419674
1,3,0,0,10,0,0,0,0,0,110,168,34,2255386
1,3,0,0,12,0,1,0,0,1,81,172,18,441963
1,3,0,0,5,0,1,0,0,0,93,187,28,2111687
1,3,0,0,12,0,1,0,0,0,102,151,19,1802961
1,3,0,0,7,0,0,0,0,1,52,166,17,2467036
1,3,0,0,9,0,1,0,0,0,75,167,30,2433680
1,3,0,0,10,0,1,0,0,1,88,188,27,524992
1,3,0,0,12,0,1,0,0,1,93,154,19,758550
1,3,0,0,7,0,0,0,0,1,107,167,30,1738102
1,3,0,0,6,0,1,0,0,1,70,159,35,689145
1,3,0,0,9,0,1,0,0,1,67,171,32,2248964
1,3,0,0,6,0,0,0,0,0,72,159,33,474539
1,3,0,0,7,0,1,0,0,1,62,189,17,1309472
1,3,0,0,9,0,0,0,0,0,80,162,33,859895
1,3,0,0,12,0,1,0,0,1,80,185,33,1975812
1,3,0,0,6,0,1,0,0,0,54,169,18,88718
1,3,0,0,9,0,1,0,0,1,94,173,15,2321770
1,3,0,0,10,0,1,0,0,1,87,157,34,1566952
1,3,0,0,9,0,1,0,0,1,53,182,22,401195
1,3,0,0,12,0,0,0,0,1,55,179,32,927974
1,3,0,0,12,0,1,0,0,0,63,190,15,888617
1,3,0,0,8,0,0,0,0,0,70,186,26,2298387
1,3,0,0,10,0,1,0,0,0,49,185,21,1624357
1,3,0,0,5,0,0,0,0,0,110,152,31,879536
1,3,0,0,12,0,0,0,0,1,81,173,27,679130
1,3,0,0,7,0,1,0,0,1,58,185,28,2127639
1,3,0,0,9,0,1,0,0,0,70,163,22,2379952
1,3,0,0,9,0,0,0,0,1,57,187,18,1383259
1,3,0,0,5,0,1,0,0,1,100,179,34,1883014
1,3,0,0,7,0,0,0,0,0,71,190,15,1231705
1,3,0,0,10,0,0,0,0,0,54,178,33,1985682
1,3,0,0,7,0,0,0,0,0,64,163,17,2059606
1,3,0,0,12,0,0,0,0,0,99,150,18,2300097
1,3,0,0,7,0,1,0,0,0,57,182,22,376841
1,3,0,0,12,0,0,0,0,0,91,155,28,758645
1,3,0,0,7,0,1,0,0,0,93,169,32,1218113
1,3,0,0,8,0,1,0,0,1,64,169,24,507654
1,3,0,0,10,0,1,0,0,1,105,181,23,1612486
1,3,0,0,5,0,0,0,0,1,103,180,30,2143089
1,3,0,0,12,0,1,0,0,1,76,189,19,603899
1,3,0,0,6,0,0,0,0,0,83,177,31,1103258
1,3,0,0,12,0,1,0,0,1,46,152,28,2417978
1,3,0,0,7,0,1,0,0,1,60,190,22,172218
1,3,0,0,7,0,1,0,0,0,64,154,30,1296850
1,3,0,0,10,0,0,0,0,0,101,164,27,1610345
1,3,0,0,11,0,1,0,0,0,108,185,27,2192441
1,3,0,0,11,0,1,0,0,1,65,180,17,242541
1,3,0,0,11,0,1,0,0,1,104,152,20,1964635
1,3,0,0,9,0,0,0,0,0,59,176,22,1977553
1,3,0,0,9,0,0,0,0,1,58,172,29,2077951
1,3,0,0,12,0,0,0,0,0,74,182,26,1962342
1,3,0,0,7,0,1,0,0,0,90,178,18,2074417
1,3,0,0,11,0,1,0,0,1,103,162,30,2284975
1,3,0,0,5,0,1,0,0,1,85,156,16,1825581
1,3,0,0,10,0,1,0,0,0,54,181,29,635574
1,3,0,0,8,0,1,0,0,0,101,159,21,1556665
1,3,0,0,6,0,1,0,0,1,58,178,15,141385
1,3,0,0,7,0,1,0,0,0,74,156,24,1393615
1,3,0,0,7,0,1,0,0,1,96,190,34,145317
1,3,0,0,11,0,0,0,0,0,81,152,32,264739
1,3,0,0,12,0,0,0,0,0,98,167,25,1541458
1,3,0,0,5,0,0,0,0,1,105,156,21,229490
1,3,0,0,12,0,0,0,0,1,68,189,18,1280989
1,3,0,0,6,0,0,0,0,0,88,170,33,1530321
1,3,0,0,12,0,0,0,0,1,80,155,20,1282367
1,3,0,0,9,0,0,0,0,0,60,176,15,1146885
1,3,0,0,7,0,1,0,0,1,98,177,25,2002002
1,3,0,0,8,0,0,0,0,1,103,179,25,313604
1,3,0,0,5,0,0,0,0,1,100,185,29,2002782
1,3,0,0,7,0,0,0,0,0,55,178,32,2190756
1,3,0,0,11,0,1,0,0,1,68,164,30,392685
1,3,0,0,10,0,0,0,0,0,98,163,19,1690015
1,3,0,0,12,0,0,0,0,0,94,182,28,2084105
1,3,0,0,10,0,0,0,0,0,57,172,17,781798
1,3,0,0,5,0,0,0,0,0,59,164,15,655068
1,3,0,0,8,0,1,0,0,0,77,151,30,1525999
1,3,0,0,7,0,1,0,0,1,107,167,27,1013202
1,3,0,0,9,0,0,0,0,1,45,183,33,662326
1,3,0,0,6,0,1,0,0,1,64,154,26,915200
1,3,0,0,5,0,1,0,0,1,53,152,25,546841
1,3,0,0,10,0,0,0,0,1,89,188,21,520001
1,3,0,0,6,0,1,0,0,1,99,151,32,988187
1,3,0,0,11,0,1,0,0,0,77,179,22,79145
1,3,0,0,8,0,1,0,0,1,57,184,33,243711
1,3,0,0,5,0,0,0,0,0,74,173,20,2257835
1,3,0,0,10,0,1,0,0,1,95,161,29,1265072
1,3,0,0,10,0,1,0,0,1,76,179,28,1373145
1,3,0,0,6,0,1,0,0,1,58,178,22,1078724
1,3,0,0,8,0,0,0,0,1,48,180,27,2145894
1,3,0,0,10,0,1,0,0,0,78,152,18,1016867
1,3,0,0,12,0,0,0,0,1,102,176,25,1818885
1,3,0,0,7,0,1,0,0,0,78,160,17,1719713
1,3,0,0,11,0,0,0,0,0,74,188,19,825386
1,3,0,0,6,0,0,0,0,1,102,152,15,511520
1,3,0,0,11,0,1,0,0,1,59,173,17,2217940
1,3,0,0,5,0,0,0,0,0,98,161,18,2038518
1,3,0,0,7,0,0,0,0,0,73,160,28,1837651
1,3,0,0,5,0,1,0,0,1,69,179,33,973785
1,3,0,0,7,0,0,0,0,0,73,168,19,1445870
1,3,0,0,11,0,0,0,0,1,45,154,27,1068973
1,3,0,0,5,0,1,0,0,1,60,169,33,765978
1,3,0,0,10,0,0,0,0,1,100,186,18,849223
1,3,0,0,12,0,0,0,0,0,55,163,29,840547
1,3,0,0,8,0,1,0,0,1,51,163,34,1812116
1,3,0,0,5,0,0,0,0,0,71,154,17,80740
1,3,0,0,7,0,0,0,0,0,91,170,15,1513836
1,3,0,0,8,0,1,0,0,1,78,167,34,1742333
1,3,0,0,10,0,0,0,0,1,68,175,23,489859
1,3,0,0,5,0,1,0,0,1,82,173,32,2216425
1,3,0,0,9,0,0,0,0,0,102,188,22,570549
1,3,0,0,8,0,1,0,0,0,48,184,23,1446197
1,3,0,0,12,0,0,0,0,0,73,155,28,719059
1,3,0,0,10,0,0,0,0,1,80,156,17,2467055
1,3,0,0,7,0,0,0,0,1,83,178,23,813338
1,3,0,0,10,0,0,0,0,0,61,165,31,1548742
1,3,0,0,10,0,0,0,0,1,69,153,34,2151952
1,3,0,0,11,0,1,0,0,0,46,151,22,848063
1,3,0,0,7,0,1,0,0,0,97,154,20,596461
1,3,0,0,5,0,0,0,0,1,48,164,19,167753
1,3,0,0,9,0,1,0,0,0,92,150,25,1286849
1,3,0,0,9,0,1,0,0,1,72,159,29,690744
1,3,0,0,10,0,0,0,0,0,106,176,25,1109016
1,3,0,0,7,0,1,0,0,1,77,186,29,401390
1,3,0,0,12,0,1,0,0,0,85,175,30,916964
1,3,0,0,9,0,0,0,0,1,108,183,20,966660
1,3,0,0,12,0,1,0,0,1,57,186,15,2154880
1,3,0,0,10,0,1,0,0,1,52,159,18,1824954
1,3,0,0,10,0,0,0,0,0,91,174,18,1974672
1,3,0,0,10,0,1,0,0,0,78,173,21,1546519
1,3,0,0,12,0,0,0,0,0,45,170,21,2435163
1,3,0,0,12,0,0,0,0,0,74,186,33,1916588
1,3,0,0,5,0,0,0,0,0,107,169,29,571879
1,3,0,0,5,0,0,0,0,0,107,164,26,1724649
1,3,0,0,6,0,0,0,0,1,65,163,21,1190093
1,3,0,0,6,0,0,0,0,0,108,171,34,354518
1,3,0,0,8,0,0,0,0,0,81,184,23,648377
1,3,0,0,12,0,0,0,0,1,92,175,16,1334492
1,3,0,0,5,0,0,0,0,1,107,158,25,1448754
1,3,0,0,6,0,0,0,0,1,79,174,33,666756
1,3,0,0,7,0,1,0,0,1,106,153,16,757162
1,3,0,0,12,0,1,0,0,0,64,157,21,1911242
1,3,0,0,12,0,1,0,0,1,90,186,32,2437720
1,3,0,0,12,0,1,0,0,0,76,180,22,837211
1,3,0,0,6,0,1,0,0,1,80,152,28,2219365
1,3,0,0,6,0,0,0,0,0,64,183,15,1678892
1,3,0,0,7,0,1,0,0,1,95,152,15,1517441
1,3,0,0,9,0,0,0,0,1,80,173,26,1105752
1,3,0,0,10,0,1,0,0,0,102,165,30,743332
1,3,0,0,6,0,0,0,0,1,78,189,19,765884
1,3,0,0,11,0,0,0,0,0,85,155,26,405130
1,3,0,0,8,0,1,0,0,0,51,169,21,473181
1,3,0,0,6,0,1,0,0,1,88,181,29,543950
1,3,0,0,7,0,0,0,0,1,56,184,28,1636536
1,3,0,0,12,0,1,0,0,1,108,184,19,1909206
1,3,0,0,10,0,0,0,0,1,80,155,32,1583257
1,3,0,0,9,0,1,0,0,1,47,159,17,819430
1,3,0,0,8,0,0,0,0,1,54,150,24,2051076
1,3,0,0,9,0,0,0,0,0,71,156,28,1462302
1,3,0,0,10,0,1,0,0,1,55,182,17,1102665
1,3,0,0,9,0,1,0,0,1,68,177,22,1498446
1,3,0,0,9,0,1,0,0,1,66,165,31,223969
1,3,0,0,8,0,1,0,0,0,91,175,24,1799381
1,3,0,0,7,0,0,0,0,0,64,155,29,2302997
1,3,0,0,12,0,1,0,0,1,53,178,15,1330270
1,3,0,0,10,0,0,0,0,1,64,164,23,340903
1,3,0,0,9,0,0,0,0,0,81,186,20,922104
1,3,0,0,5,0,1,0,0,0,59,187,16,816392
1,3,0,0,5,0,0,0,0,0,97,170,30,2272658
1,3,0,0,9,0,0,0,0,1,105,173,25,2007220
1,3,0,0,9,0,1,0,0,1,58,188,20,1974263
1,3,0,0,7,0,1,0,0,0,101,164,32,1080474
2,3,2,"28,32",50,1,0,1,1,0,100,176,16,200000
2,3,2,"22,22",41,1,1,1,3,0,84,189,23,200000
2,3,2,"24,27",45,1,1,1,1,1,110,165,19,200000
2,3,2,"40,39",59,1,0,1,1,1,110,162,15,200000
2,3,0,0,32,0,0,1,2,1,56,184,24,200000
2,3,1,37,59,1,0,1,1,0,66,179,16,200000
2,3,0,0,27,0,1,1,3,0,97,158,17,200000
2,3,1,21,45,1,0,1,3,1,70,172,19,200000
2,3,0,0,57,0,0,1,2,1,84,156,18,200000
2,3,0,0,29,0,1,1,1,0,106,151,25,300000
2,3,2,"27,26",48,1,1,1,2,0,62,189,27,300000
2,3,2,"21,24",45,1,1,1,2,1,96,182,29,300000
2,3,0,0,41,0,0,1,2,0,103,172,34,300000
2,3,2,"30,25",48,1,0,1,3,1,82,152,27,300000
2,3,0,0,45,0,0,1,2,1,75,156,30,300000
2,3,0,0,36,0,1,1,2,0,95,181,28,300000
2,3,1,22,44,1,1,1,1,0,108,189,18,200000
2,3,2,"35,32",55,1,1,1,2,0,65,174,20,200000
2,3,2,"15,16",40,1,0,1,2,0,90,162,25,300000
2,3,0,0,33,0,0,1,1,0,101,168,33,300000
2,3,2,"21,17",41,1,1,1,2,1,90,174,32,300000
2,3,2,"22,20",42,1,0,1,2,0,75,154,25,300000
2,3,0,0,27,0,0,1,1,1,100,163,16,200000
2,3,2,"25,23",43,1,0,1,2,0,89,167,25,300000
2,3,1,21,43,1,0,1,1,1,83,152,18,200000
2,3,0,0,38,0,0,1,3,0,87,170,19,200000
2,3,1,18,42,1,1,1,2,0,46,189,16,200000
2,3,2,"18,19",42,1,1,1,1,0,54,156,19,200000
2,3,0,0,36,0,0,1,1,1,69,164,34,300000
2,3,2,"35,32",54,1,0,1,1,0,81,179,21,200000
2,3,0,0,27,0,1,1,3,1,110,178,18,200000
2,3,1,23,45,1,1,1,3,0,59,168,30,300000
2,3,2,"25,30",50,1,1,1,1,0,97,171,21,200000
2,3,0,0,29,0,0,1,2,0,90,188,34,300000
2,3,0,0,59,0,1,1,1,0,71,187,16,200000
2,3,1,40,59,1,1,1,3,1,48,152,16,200000
2,3,0,0,42,0,1,1,3,1,60,154,16,200000
2,3,1,25,49,1,1,1,2,1,71,181,24,200000
2,3,2,"34,37",58,1,1,1,3,1,52,169,17,200000
2,3,2,"33,35",58,1,0,1,1,1,107,178,17,200000
2,3,0,0,27,0,0,1,1,0,49,181,33,300000
2,3,2,"35,35",59,1,1,1,2,1,54,178,16,200000
2,3,0,0,27,0,0,1,3,1,65,164,19,200000
2,3,1,39,57,1,1,1,1,0,46,175,18,200000
2,3,2,"32,30",52,1,0,1,1,0,69,171,21,200000
2,3,1,32,54,1,0,1,3,1,57,178,21,200000
2,3,2,"25,19",43,1,0,1,2,0,82,164,30,300000
2,3,1,27,51,1,0,1,3,1,98,171,24,200000
2,3,0,0,42,0,1,1,1,1,49,160,17,200000
2,3,0,0,36,0,0,1,3,1,83,155,31,300000
2,3,2,"24,20",43,1,0,1,2,1,103,160,21,200000
2,3,2,"20,20",45,1,1,1,1,0,98,152,21,200000
2,3,2,"35,32",57,1,1,1,2,1,88,161,18,200000
2,3,1,39,58,1,1,1,1,1,87,152,17,200000
2,3,1,32,55,1,0,1,1,1,65,152,20,200000
2,3,1,27,45,1,1,1,1,0,47,165,30,300000
2,3,1,20,41,1,1,1,3,0,54,166,34,300000
2,3,2,"20,23",45,1,0,1,3,1,93,176,23,200000
2,3,1,23,46,1,0,1,2,0,102,180,18,200000
2,3,2,"25,22",45,1,1,1,3,1,54,156,19,200000
2,3,1,23,47,1,1,1,1,0,83,182,20,200000
2,3,1,24,45,1,1,1,3,0,109,166,28,300000
2,3,1,34,55,1,1,1,3,0,85,164,20,200000
2,3,2,"38,35",58,1,1,1,3,0,63,164,17,200000
2,3,2,"29,24",48,1,0,1,2,0,110,183,27,300000
2,3,2,"28,34",53,1,0,1,2,1,86,178,21,200000
2,3,1,35,57,1,1,1,1,0,97,151,18,200000
2,3,1,36,54,1,0,1,2,0,85,162,21,200000
2,3,2,"25,25",49,1,0,1,1,0,105,188,26,300000
2,3,1,22,45,1,1,1,1,0,90,170,30,300000
2,3,2,"36,38",59,1,1,1,2,1,62,179,16,200000
2,3,1,18,40,1,0,1,3,0,95,183,16,200000
2,3,0,0,52,0,1,1,3,0,87,167,23,200000
2,3,0,0,56,0,1,1,1,1,94,179,19,200000
2,3,2,"22,22",41,1,0,1,2,1,57,177,22,200000
2,3,0,0,29,0,0,1,1,1,97,156,28,300000
2,3,0,0,32,0,0,1,3,0,101,189,27,300000
2,3,0,0,34,0,1,1,1,0,56,156,22,200000
2,3,1,38,58,1,1,1,2,0,55,189,17,200000
2,3,2,"19,19",41,1,0,1,3,1,67,162,21,200000
2,3,0,0,45,0,0,1,2,1,103,165,17,200000
2,3,0,0,42,0,0,1,1,1,93,151,19,200000
2,3,1,34,59,1,0,1,3,1,78,180,15,200000
2,3,2,"39,36",57,1,1,2,2,1,77,178,18,300000
2,3,1,15,40,1,0,2,3,1,72,185,20,400000
2,3,1,20,41,1,1,2,3,1,68,175,28,500000
2,3,1,29,54,1,1,2,3,1,53,182,21,400000
2,3,1,35,55,1,0,2,2,1,103,175,20,400000
2,3,2,"21,21",46,1,0,2,1,1,101,156,29,500000
2,3,2,"18,17",42,1,0,2,1,1,105,181,20,400000
2,3,1,32,53,1,0,2,3,0,73,155,16,300000
2,3,1,15,40,1,1,2,1,0,52,173,35,600000
2,3,1,20,44,1,1,2,3,1,91,172,25,500000
2,3,2,"26,21",44,1,1,2,3,0,62,190,27,500000
2,3,1,32,56,1,1,2,2,0,57,179,19,400000
2,3,2,"18,17",42,1,1,2,3,1,56,190,33,600000
2,3,0,0,59,0,1,2,2,0,103,164,16,300000
2,3,1,20,45,1,1,2,3,0,95,177,15,300000
2,3,1,20,44,1,0,2,1,1,54,184,16,300000
2,3,1,27,45,1,1,2,2,0,46,157,24,400000
2,3,1,18,42,1,1,2,1,1,59,184,24,400000
2,3,0,0,34,0,0,2,1,1,60,182,18,300000
2,3,1,16,41,1,0,2,3,0,83,178,24,400000
2,3,0,0,27,0,1,2,1,1,108,177,31,600000
2,3,0,0,43,0,0,3,1,1,58,151,31,800000
2,3,0,0,31,0,1,3,3,0,110,155,17,500000
2,3,1,33,58,1,1,3,1,0,72,176,17,500000
2,3,0,0,43,0,0,3,3,1,98,183,29,800000
2,3,1,34,55,1,0,3,1,1,74,171,20,500000
2,3,0,0,43,0,0,3,3,0,90,180,29,800000
2,3,1,23,41,1,1,3,1,1,52,186,34,900000
2,3,0,0,30,0,1,3,1,0,53,154,33,900000
2,3,2,"35,39",59,1,1,3,3,0,92,170,16,400000
2,3,2,"21,21",46,1,1,3,3,1,76,159,22,600000
2,3,0,0,27,0,0,3,1,1,96,180,32,800000
2,3,0,0,44,0,1,3,2,0,107,163,31,800000
2,3,0,0,38,0,1,3,2,0,60,178,29,800000
2,3,2,"20,24",45,1,0,3,1,0,84,171,30,800000
2,3,2,"32,37",56,1,1,3,1,0,98,165,19,500000
2,3,0,0,41,0,1,3,2,0,76,190,24,600000
2,3,2,"23,16",41,1,1,3,1,1,100,162,34,900000
2,3,2,"22,22",45,1,1,3,1,0,60,179,23,600000
2,3,0,0,41,0,1,3,2,0,87,177,17,500000
2,3,0,0,55,0,0,3,1,0,57,151,16,400000
2,3,0,0,43,0,1,4,1,1,80,158,32,1100000
2,3,2,"21,18",41,1,1,4,2,0,105,180,25,900000
2,3,0,0,44,0,1,4,3,0,63,185,31,1100000
2,3,1,35,59,1,0,4,1,0,103,156,16,600000
2,3,0,0,58,0,0,4,3,1,55,186,17,600000
2,3,1,22,47,1,0,4,2,0,76,171,28,1000000
2,3,2,"21,21",44,1,1,4,2,0,110,176,20,700000
2,3,0,0,27,0,0,4,3,0,57,161,25,900000
2,3,2,"34,32",53,1,0,4,1,0,110,161,19,700000
2,3,2,"33,34",57,1,0,4,3,0,90,154,18,600000
2,3,1,29,53,1,1,4,2,0,52,156,22,800000
2,3,2,"27,26",46,1,1,4,3,1,108,160,28,1000000
2,3,2,"19,17",42,1,1,4,2,0,69,185,15,600000
2,3,2,"36,37",58,1,1,4,3,0,107,159,17,600000
2,3,2,"23,23",41,1,0,4,1,1,110,176,24,800000
2,3,2,"24,18",43,1,0,4,3,0,89,178,23,800000
2,3,2,"20,21",44,1,1,4,3,0,70,176,31,1100000
2,3,1,36,55,1,1,5,3,0,51,179,20,900000
2,3,1,15,40,1,0,5,2,0,90,163,25,1100000
2,3,2,"23,24",48,1,1,5,1,1,89,163,27,1200000
2,3,0,0,40,0,1,5,1,1,64,176,19,800000
2,3,2,"25,24",45,1,1,5,3,0,105,178,27,1200000
2,3,2,"32,29",51,1,0,5,3,0,45,183,24,1000000
2,3,2,"21,19",40,1,1,5,1,0,72,152,35,1500000
2,3,1,34,54,1,0,5,3,1,102,186,15,700000
2,3,2,"37,33",58,1,0,5,1,0,52,188,17,800000
2,3,1,34,58,1,1,5,1,0,64,154,17,800000
2,3,1,29,50,1,0,5,3,1,108,157,25,1100000
2,3,0,0,31,0,1,5,2,0,47,190,33,1400000
2,3,1,25,45,1,1,5,3,1,72,152,26,1100000
2,3,1,37,59,1,0,5,1,0,69,186,16,700000
2,3,1,32,55,1,0,5,1,1,65,176,17,800000
2,3,1,19,43,1,0,5,3,1,50,165,25,1100000
2,3,0,0,34,0,0,5,2,1,76,180,17,800000
2,3,2,"22,26",44,1,0,6,3,1,83,176,16,800000
2,3,1,25,44,1,1,6,2,1,103,190,29,1500000
